platform	ordinal	original_commit	filtered_commit	retained_import_commit	full_tree_delta_sha256	projected_tree_delta_sha256
linux	1	7064b02f3e7466eb3863040908186fc91df4a24e	e881043b57fe2242249561b9352e0335c537e30a	56af80454bd356097f264bd81f0920234ae17bfc	11f971fda185ea1f19570bf74e805742146b03beb588628d2473a9ce9c885708	fcf0ce1b0614174d1ba34b156a63aa42fc4c5c7af08ecd2ffb6a989fde4e6f01
linux	2	b6e58aacd9c2b5c484890a1242c0f9bd9a98adb4	7e87caaacb80013c21f83529b24c533069bf72a2	f318e291fd4a3a2f94de6a81486de71c12971d39	0f9cc4285a87a264fd8209db0d42d4ad6486eaa663e20a6ef84a84b467ee5852	0527f27c434cfea9858e6994d842d8e3ac935bb520d1bec5aa1e6fc795588d37
linux	3	99bc7974dc4460cdfe00671e29e1fc96cfc718b3	c6d063b000f2e790063dfea60a4b99ca51f3f718	4062ed233f8d93681e4f4ae5b83e873604af349e	1dfd82ee03b6ee8addcfe9a68e8c831e9af17a495397b9d561104be2a130f690	ba7c3e9a6698bd9a1eda2dbf5c2cfe266d5bfb812867a76439cd36a7163a2fa1
linux	4	b6e4140340f01075f5e225835b0b0aeb20204c6b	f4788ea0de40d48f70ec1d09b8b3be58063180ab	d722b3f555f63c9ec453475ff66577ea9f1e450d	86d73c6a37bd1192fca5cd0ff0451828f0e125f109470de1845486dc155bea5a	86d73c6a37bd1192fca5cd0ff0451828f0e125f109470de1845486dc155bea5a
linux	5	c7b4d49dbae46f900b36b530e375162f0cca86ab	efd6a5ff5049d0aea2016d53c20e551883e09404	214ca5ae850700150a419569d9e60e806998567e	df37635c4eb439634704a75bdd7c43729a29eba101255e5928bd654ed5f943aa	df37635c4eb439634704a75bdd7c43729a29eba101255e5928bd654ed5f943aa
linux	6	9ee569f761814cbe6d575ff1b94253c2ba0b143e	64fc53d7af76b5aad729486cbe7a01c7386f4140	aefd37e1a6d3ef57eb7d351e089f3fe1cc2b351f	b4ea525130788eb931434f17d5b0d95a577b04979064cfbd6c1d678fdd585849	b4ea525130788eb931434f17d5b0d95a577b04979064cfbd6c1d678fdd585849
linux	7	2bda5f20421a65b54894489b54420b8d390ac72b	3bac7ff296e6f8ebd2887e2a8efbaf37fc6fcb60	3aa7a54856dd95a20cd96c39cc4d82a3aa7b10d5	07b3da4c0a374481733bf196812a67317a7da61e43aaac90610482d26d704be5	07b3da4c0a374481733bf196812a67317a7da61e43aaac90610482d26d704be5
linux	8	b087ce831f9a7a22b15d5e19fb0abf17b6f3bc43	86fd1b392cd1305ca95c28f942981d952fd902fc	0d36bc11def3e09be27d917b36c3e32966d6e96e	ab70d061e45e09571dbbef5f9a45988ab003eb3d746066b250d10f867150bb37	ab70d061e45e09571dbbef5f9a45988ab003eb3d746066b250d10f867150bb37
linux	9	8bc657647eeac9276c5a1e143dc65bd9113d136e	47c8f2b60c3af31cdcf6e82c41018a64731b6b07	22c04a6ec4d524937528021f0c86b7b113264a5d	3b260cb6a1d278f31ae120484c88b598c8530cea63883731f413864d1146d646	3b260cb6a1d278f31ae120484c88b598c8530cea63883731f413864d1146d646
linux	10	e64e160da05afdf10c64e99b6fb210e3d31482c1	ae7224d01e63964a8d2786ec164fd1b2a56d3d8e	ed7c056d1499aaf596c60f98340bd646949ffa57	41a0a00f6ace5971ea5a930be7c882f089467700f041d6ab729c789a5fbe2815	41a0a00f6ace5971ea5a930be7c882f089467700f041d6ab729c789a5fbe2815
linux	11	92601e38d95ad493a44179c26f9512529e567d68	8e6f781038a3bb1bd26fb9f70ab5cf67ff6130a6	c5a3c3e532ea341be65c64d06eab3ddabac959c6	25943bb4e1979255b1c753d776ccf0d96b16d31bcaa0e83ffbaa94d89c140d2e	25943bb4e1979255b1c753d776ccf0d96b16d31bcaa0e83ffbaa94d89c140d2e
linux	12	e3f0205daf9369b4d80b8a8943e3802f38978fd4	e94b5ed2b2b0031820a0e961b43bbab3a51f1efe	2b429b0aa47128a3c3b512fa3df4051af3174e86	96bf9a7f7c7806dae1865c17e4ab07e79c98208852002d4825e6284a4fc0d917	96bf9a7f7c7806dae1865c17e4ab07e79c98208852002d4825e6284a4fc0d917
linux	13	1d05079714d162bb7ff4c1b8adbf8c3adf98e7b1	a98780372cb5f83cc5c0db96e6a53364fc0ccd31	5e674dd4305ec69f74d85450e57078a859ab1a09	91a1ac971c4d070f9fd378f2ba483386313ee866c11c18f81aa546ffc0f7d087	91a1ac971c4d070f9fd378f2ba483386313ee866c11c18f81aa546ffc0f7d087
linux	14	c5b0e38261fea4435609d4e08b36b165cd1d4cb7	9178ba1f1cc69713799c0df72330f6efc929f031	7d1edec53701c8fd73a368c80c9efafa2bd47158	fc2693833d07e35b416a9417eefc2739954a02529979038d9a98e807a4a3f14f	a8e5c50ca6bdc77a6dae638493e7ff2a475c13ec0623e17bca0eb500fdb5e2d1
linux	15	8c5fdf8754bbaf93c979ba3ebe1c644ed6a89166	ab19b35a3832fd1c98d3345b7461763f824216e2	bee692024a8ba087d68744102adf64cddfd4c5ad	d5f5c817671a2940c2ef5b82a056df923f94a164e6c2383489271b03e8ff300c	fdede2fee82742fcec66f881eae978fd6a2ff8a9bb507ca800091fc455310128
linux	16	a8293fcfd364a93878cf583d684f480e4967f1e5	02c4bb15b83e84e56d090237e31e1a1e5773b1e9	29bbbc4cd21ee5561f00c27cb2ad05b8108b5883	e35950b9d13f9c79b685caba95723f364f7446f908b27cd08507abe443ac0c21	d3631573913fe7bf4b9b2946d16c38e2b96a788b35366ab319afb811b924bae7
linux	17	f3321513582c9d1d13c97cce8189c586447381cc	4a0a36bb6cd4774f77120bf5d39ad1ce5babfffe	1e21857ebad8b2c078df3d49531bdfa325317046	5664ee09f424e548a4d30c699c747ab167f80872816051209f84e3ac4f3ec93f	e5cac114f1f5d3cc0ac112a3893002e45bd78fd78e58e1e142c4d60dad6a52ed
linux	18	d6c9a24096db37f565dd35238d60e46e2fca45d4	80c33096610668fb3789f00a33f1545a8a4330d6	dc286cd71f188d39c7e2524b8cfe124de0ba5159	5bb8e528b40ce1032a5f70475586867b06656c868ca10cf2e17aa973af236911	b3ecbefe5b8620356f8d4ea4ca511c31bc8a504bd901614b6bee6289fca0df7e
linux	19	79e52b476e47bee7598f238f7bb190a007d92e50	250952762116520420bc53174263d8dbe6eb5e8c	2a95408bc8919bde5c3a61652c5cb7c4778ab159	888a21128208b3bdd3f708420b787bab146ae830a25dbc049fd927dfd7919aed	b91280cef0d46aa17965189a7cb4e8fe6adc3453c6123f4862c0d3168cb9c72e
linux	20	ae9ec9ed90fbd6932c6f05aa15964d80b768585c	fbc2ba00ee744fb4e0c762096695b51ac6f7ada1	463f1fcc1dd40560c2633e2978aca0455d15e388	723c65eb9346afe1c701d758fb42129a9d872dad42a9d2cf01b75772058faa4e	e07f7d3b192d2daa33c4312d17d4ae2fbc9a3213bc229cfd7010a1a0a33f81a4
linux	21	a8410babc9e1b0c2a57b9f69db98a495133f6843	f9cefb0b3bdb2798791a5fd02907a79e43f38e67	510662ed1df6a3eb24a2457648b4b9c5f6a8d066	3c77506f2f617af169c74898e28002c2f4dd6ee89596acbcac9d03df37d2f886	570f6d1cf3d64bc1accab47c888eed94eb1e754944ad57a84f6c20d699e15f46
macos	1	7fb6797033a619d79180bf256c661926218de26f	37add2e258fcf6e11eb057feadcf8ee51b4a2470	20f27835fec4e30d3ed171925e78f56945fd4487	4005f2f947182e98091fccdf0d0187b5db59355dc90142fbbebc2859c65dacd8	d6d772ea7db28c7def1e02dc6c9995cb1cff827a86f0711eed9bcf2e6cdb12a4
macos	2	7160aed269e85ba3c6e89cb55115b139f68bf81f	ecfe36056c736ff408f80de5111d6f767997ade4	001b981d9980194d79798835aaf975322da71abe	1449543d0b7f4cfe1d665e1f6856b46755df444902c348b0bff133384937a2cc	7898819ed4baecc27c65bfb493fb5b64e62d994287346b01c4d11d7d53a4de8f
macos	3	85df0978d352e0bcbb9c31697d15e54700318fdc	8fdc6050438633799d4daf486020ab0e8b8bfde1	35e941de2a9084b3c75790093e46794185ade04e	22cc96403e3d84f5cabab90d4fe88cdbe86a51986add025651a7f478bc9e5331	fe25ac164daa15811e5694430a624d822b84cb12eea05a8a9f95b86d176c9385
macos	4	a3f70e0fab29e5826214961d297cd754f7752a2b	c17fa760f7467b0f234a1dec8b6db5e2b8328f09	596e41ae11345b8479176c2dd8604afec61c1668	a21d50281e56ceca20373d5ac36ad5cc96addfd79c416b0ba11ad9e34967f178	403928bfdf24998569f2749bfa4f156987914943325afd7035fabbf3e1dd6b2b
macos	5	cfdfb6daf7244d7189f85dc296f6090e2e96fede	f8a336cea3c4b9cd375dd4f5b2510ddf5c0498e0	142396dbb687705771b940c138bf7ac4e126e174	d11a38f00dc1587006230dfa731ff7ed14d9b352fe0f977cd11f9abc67ca9bc8	394c860f859518d977fae6d1b932d7114128d34146d48c02deef2816433234e2
macos	6	02bdfabddb00f7f873b8fc96bec3dedd38882c00	8d41955858540f19a2fb4f7cce3af200e63052c5	5f1b26553c2f18ce5009ab5ce3589bbd03100aeb	bd3a56e51e07d1a767d9308f0090516d4cc42665da41877bd411a2f1afff9c62	8f49fbe642cc25e68923560e5c5f973bc8c4de2bebc4efd983a2af345ad8bdb4
macos	7	7f6370bc45e7c4242365e6dfc7045bc6f256b2f2	95805a0d1fa7a404ade7b76300344888de0b5f4b	71861edb1a663c5ac7310f61d979e5f3ce554932	fc377b7244b30c4fd7bc1c955fac02a39c8a6a13e56f7a420a28069ebcb33d82	8603e1a81cda3a7d31cd0957b4696b10623c26e1a18717cd74e33fafa33b11aa
macos	8	8a35047a705a2cd62737929ed049cdbf5c06d8fa	49f88b0139371b55d6e10522d6c606303f80eef0	a03f2253776cf23b2593d36d72629363f8888739	d4d8698c5c5418c1d379bc7b7bc2c9e2b581056547cd5d8b461fb2aeb9357300	513f080b9c67ef581ff1e2c5be134e763a17064aeb8433d92524aa41bb6723df
macos	9	f8af4dc77b7438607201b2db1a1ff912e7ff7ad6	5d62c5331ec722ef9fbae324b8c347c031d8c9e1	ab1a0c88e365cf7637e88750fc971d44f28b6219	a136e61b4d08a3220f3a7a7d9342706b8bd44d73e8963a2359c91b88888b910a	82768071997bbaf9089be02a1655184e7d513bafc910340a5bf7d101bf3318d8
macos	10	12bb746cb6eca19f31901809de3ca457c4c3f0e3	2d71cf3c63e633ef28107889152da569caac9961	2a64e5c4346f806d0391786ffdd086e1ae805cb6	4df36a11b06279a082d63ec6ad23ed0e141e777a5be4e2fa449c89e2bea5eec5	164a96449ebc25d8d9378cc3d6dfb2ba799e5df4739a4b10e9b72e41fd23db22
