platform	ordinal	retained_import_commit	final_main_commit	full_tree_delta_sha256
linux	1	56af80454bd356097f264bd81f0920234ae17bfc	d79d1699134cfdf3e19895b40fe75da427961b56	11f971fda185ea1f19570bf74e805742146b03beb588628d2473a9ce9c885708
linux	2	f318e291fd4a3a2f94de6a81486de71c12971d39	196322b4d1dccde6d3482cc6e1f8b91aac7c2fec	0f9cc4285a87a264fd8209db0d42d4ad6486eaa663e20a6ef84a84b467ee5852
linux	3	4062ed233f8d93681e4f4ae5b83e873604af349e	9fda41b720efa0f917fc586cdcd8f34fdf321e9c	1dfd82ee03b6ee8addcfe9a68e8c831e9af17a495397b9d561104be2a130f690
linux	4	d722b3f555f63c9ec453475ff66577ea9f1e450d	24068c7b9792e48c700b313ac24ae1c09eb3ca02	86d73c6a37bd1192fca5cd0ff0451828f0e125f109470de1845486dc155bea5a
linux	5	214ca5ae850700150a419569d9e60e806998567e	b5a1c55b7ebd1ded2091b36f632946919f9b5e92	df37635c4eb439634704a75bdd7c43729a29eba101255e5928bd654ed5f943aa
linux	6	aefd37e1a6d3ef57eb7d351e089f3fe1cc2b351f	af4359dc4d2d7ce4a5742348517f1ac67005a7b7	b4ea525130788eb931434f17d5b0d95a577b04979064cfbd6c1d678fdd585849
linux	7	3aa7a54856dd95a20cd96c39cc4d82a3aa7b10d5	615b472a874ba9b1c8e9b615213a150b6cb373ca	07b3da4c0a374481733bf196812a67317a7da61e43aaac90610482d26d704be5
linux	8	0d36bc11def3e09be27d917b36c3e32966d6e96e	0bceee271660ffe436ec5ddda362f6a6f9f54079	ab70d061e45e09571dbbef5f9a45988ab003eb3d746066b250d10f867150bb37
linux	9	22c04a6ec4d524937528021f0c86b7b113264a5d	d50fe9dca4abb8b9d4eb7d48e389545ef804c0de	3b260cb6a1d278f31ae120484c88b598c8530cea63883731f413864d1146d646
linux	10	ed7c056d1499aaf596c60f98340bd646949ffa57	68b2a579f947858015533f2cbfbe5ea158ea28a7	41a0a00f6ace5971ea5a930be7c882f089467700f041d6ab729c789a5fbe2815
linux	11	c5a3c3e532ea341be65c64d06eab3ddabac959c6	4fc22ede759221060a472473dd5e6e7b40e77af1	25943bb4e1979255b1c753d776ccf0d96b16d31bcaa0e83ffbaa94d89c140d2e
linux	12	2b429b0aa47128a3c3b512fa3df4051af3174e86	48336345cae35d2055ebe0e2795c5f9fc30fd978	96bf9a7f7c7806dae1865c17e4ab07e79c98208852002d4825e6284a4fc0d917
linux	13	5e674dd4305ec69f74d85450e57078a859ab1a09	d916d18254c4293c735149519e54f92440382fdb	91a1ac971c4d070f9fd378f2ba483386313ee866c11c18f81aa546ffc0f7d087
linux	14	7d1edec53701c8fd73a368c80c9efafa2bd47158	3bed0d1105a10b2d6e008ee196199545244cd94e	fc2693833d07e35b416a9417eefc2739954a02529979038d9a98e807a4a3f14f
linux	15	bee692024a8ba087d68744102adf64cddfd4c5ad	c1a29689711af5cb72623f6d1feef552771bd35f	d5f5c817671a2940c2ef5b82a056df923f94a164e6c2383489271b03e8ff300c
linux	16	29bbbc4cd21ee5561f00c27cb2ad05b8108b5883	2862ddbb34366f1d1bea3b8e773d51a11743f58a	e35950b9d13f9c79b685caba95723f364f7446f908b27cd08507abe443ac0c21
linux	17	1e21857ebad8b2c078df3d49531bdfa325317046	15a5db3bf8d171edb6537a13b5715210360adc4c	5664ee09f424e548a4d30c699c747ab167f80872816051209f84e3ac4f3ec93f
linux	18	dc286cd71f188d39c7e2524b8cfe124de0ba5159	cbdb9aec7712f54cce9484f0418bedd533d1cd38	5bb8e528b40ce1032a5f70475586867b06656c868ca10cf2e17aa973af236911
linux	19	2a95408bc8919bde5c3a61652c5cb7c4778ab159	a5c990cdfc4d6c1e6fd5bb299079ec656846c5ec	888a21128208b3bdd3f708420b787bab146ae830a25dbc049fd927dfd7919aed
linux	20	463f1fcc1dd40560c2633e2978aca0455d15e388	d00c77f2e2005c1ddc63a44b846e8881614e0d37	723c65eb9346afe1c701d758fb42129a9d872dad42a9d2cf01b75772058faa4e
linux	21	510662ed1df6a3eb24a2457648b4b9c5f6a8d066	06ea50420bd21dc0e9a246b573aefa026615043f	3c77506f2f617af169c74898e28002c2f4dd6ee89596acbcac9d03df37d2f886
macos	1	20f27835fec4e30d3ed171925e78f56945fd4487	02b938d600a40421e3f0f47bc260aa49c0cddcde	4005f2f947182e98091fccdf0d0187b5db59355dc90142fbbebc2859c65dacd8
macos	2	001b981d9980194d79798835aaf975322da71abe	c493be3c5deb571e608956146342b87fb917579c	1449543d0b7f4cfe1d665e1f6856b46755df444902c348b0bff133384937a2cc
macos	3	35e941de2a9084b3c75790093e46794185ade04e	220e1cd65d9201c0e824aab3c151436f8a8bcda5	22cc96403e3d84f5cabab90d4fe88cdbe86a51986add025651a7f478bc9e5331
macos	4	596e41ae11345b8479176c2dd8604afec61c1668	edf2565fa9ba69ae538952cbedc8d72316e53808	a21d50281e56ceca20373d5ac36ad5cc96addfd79c416b0ba11ad9e34967f178
macos	5	142396dbb687705771b940c138bf7ac4e126e174	56fce7c595898923b4982119c613482aaf97be67	d11a38f00dc1587006230dfa731ff7ed14d9b352fe0f977cd11f9abc67ca9bc8
macos	6	5f1b26553c2f18ce5009ab5ce3589bbd03100aeb	6f3d1e01f2559980e2251635fd0d611c0c6d22ce	bd3a56e51e07d1a767d9308f0090516d4cc42665da41877bd411a2f1afff9c62
macos	7	71861edb1a663c5ac7310f61d979e5f3ce554932	604c991efbba4fdef428fb46fe14ffd7a4db6832	fc377b7244b30c4fd7bc1c955fac02a39c8a6a13e56f7a420a28069ebcb33d82
macos	8	a03f2253776cf23b2593d36d72629363f8888739	61d28510ed2250651aa71aa24267fc1e91ebba6b	d4d8698c5c5418c1d379bc7b7bc2c9e2b581056547cd5d8b461fb2aeb9357300
macos	9	ab1a0c88e365cf7637e88750fc971d44f28b6219	d8ae28e721e08f0441e4d7a0e2862ad00351c1ad	a136e61b4d08a3220f3a7a7d9342706b8bd44d73e8963a2359c91b88888b910a
macos	10	2a64e5c4346f806d0391786ffdd086e1ae805cb6	6f0a159b630bdf84e9604fb491d0782f6e0c14d7	4df36a11b06279a082d63ec6ad23ed0e141e777a5be4e2fa449c89e2bea5eec5
macos	11	173ccb10bbe446811d8f59e919983e5732651603	b0763eb36caff43d436864e38a2916f47eb3f88e	db2b89156362d95d9f10194967d75ef22d7ad7a92b6869dfac1635eb4cf550e6
macos	12	e59e3a26cf119d9ff554d15e708bd4b80a7af7a7	5100382e6f1640127248a59d9f3f2ff376fd4655	298a83b8519271c2097517cc6cff4b5b6143cf3e769d901d00cc81a575bc35bc
macos	13	128c1cb0474a8f648b87fbe9be651083d6194ec4	e2465915f7aab0685742436e82f82b0d4f075f44	7645308a4d4e09834a0727659232056b89aaac6bbc4038c560e7e2dbbb356b3d
macos	14	b1cdf2ff6adb4667996c0daec3f01c20cdbd7420	99a9d7bd6222e57b96f28726a9159b3f71bba840	bb1002be2ab404857cd4223f6cc2d45554ccaefad38457b8081edeee7cf517fe
macos	15	469ad3eeb801c9d0fc4540d184ef9cdd09aedd57	fe36105854b95214c6225b82521708fce992f543	f4757955778c9db1414e457ef09dcc40660208d9ed067e4c6881b19ccf8b1386
macos	16	f88af92905242c0f641c16fbda8e5a766e603d2b	c18a652959d6e2da7bbcc8693880acaf14515e12	a7c5a4912b8f45fc9ba2042f7d577b48f10c6bcf5af8c2da9f9df1b98f86ce2f
macos	17	6167a705200db85fd5e745bd06ec97f8b3cb6c79	eee7387c4e7561b8932c5cbaeed70c9caaebfe8d	65f04062abc5cedf48d887a402f09c718447a6cca490679f23c36c453b73f9b5
macos	18	951cc4007eb8206fe3fbaf3132801a39541f2e42	42e8258027ff83a6595a8cb906631c3c6ca4e3d6	dcbf87d1d88c9c5b185bd4ab3e46758519c3ed6646cec964c16eedb2df14b027
macos	19	8abae0e517c3126904c6a5e2169d02d78da4906b	bb9c717a41500cf2150839dcbb991619dfa9a3cf	1210149155b4c4d4c5d501b85ff01ca0fd4379b80f106cc8e81ad44f8d80c3a1
macos	20	b71c9e3d54b635dee298e4f7beae3ce95277b3f4	79a2518f4d7834f18dc7f81927dbf62540fd0759	1630a902e9f683839465d06acfbbd705625e40ab01506f7cf58d0b88115ddab9
macos	21	33f0434db17d10d727d3ab0fae75a125d422070e	7429b3cc0f073731368d195383bc36c12e8dda00	b42317f288fc0bb531fbef64daf35c8ec5c1218a019e7eba8befb1c7584fd898
macos	22	78ba1e098fa4a717fab4cafda736d80c5a32399d	4cbe6b611776ccb02eb6dccb38b9ebc33a370bbb	736915e5be63aebf5a664d5cd11f9bc359de35364bbd5783103f6785394658fd
macos	23	e0677fee334ea9353fe776a6608b80c19518d48d	e8e7b9226b907d2d65eb04c9c53c13fd28e959bd	74b83ea8f21a281fbba036fd3d754e60ee7763d7bba31ec7032b7367a14e991d
macos	24	fcd4cf6041f6dafb1f7057a6667e7473cfeeb4ff	766758c0770f54ffaa1ef0bb1f204dccefdc029a	b6e0804bf3eb45c266d34e2152de34f0f7f5fe33f40452fcf4e79220d6324dc1
macos	25	7a5c323fc4ff61cf30abb5915d3c4e162323190c	83fadcbee383f014fec7e6f3412c48383e8c21fe	3fc849966895bdee668d1053f9cd5ef7e5afc8a9da19fbbc0a1e35c7be4de6b0
macos	26	abd0f0077290d9b1160c5000d3084754ad0b5e81	c306d7b87bbfccf68e62d6ed7719ebe4c39381d4	c6402652181c730ffe845c03eb71978d8c9099ea55268fde666bd6b592ce588c
macos	27	40eabb95186d2acdb53d220d07cb7bdf6b84c1f0	67644f021d4407e046e3f372931a4ec5adcf38d6	24e26b8374fb74db12134621f49b6417ed084138457765d84ce439cc38bc9de6
macos	28	71580c2c3417c5d10f78d097b902dd8742e5b1a9	b0cb9d826dfda58ba49654473c6bbf322751d177	8973bb38d5eaf519e84b07e0c551dea19d181f8587a4482a05e546725e3cba2f
macos	29	a614eb2863f0309c096cf8f2764058930204a0f7	7f28fcace32c303a1be8ad81d7a187973a920edb	7748516dca68fa970eac80997e9f824122c9cf4f51055c983508287185742cf7
macos	30	aeca2a19054ecf637590db0d635f0a382c426a48	b9e89f8aeab968ef8e89fe87a9dee3ba8c2ee65a	5bf50b65a63e7e4bbac4c180c988b60a74b2aaa6d32fda9dc751e28d023c5b3f
